{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：无\n机构：无\n位置：未知'}
{'text': '心情不好有点郁闷//@宇晗道长_:怎么了', 'entities': '人物：宇晗道长\n地名：无\n机构：无\n位置：无'}
{'text': '[哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈]//@雷蒙尹:[哈哈]//@zippppi:[哈哈]//@空澈妖灵:SOSWEET[爱你]//@蝶伤情-蓄头毛ing:以后我的孩子一定会像后几个那样懂事…//', 'entities': '人物：雷蒙尹、zippppi、空澈妖灵、蝶伤情-蓄头毛ing\n地名：无\n机构：无\n位置：无'}
{'text': '感谢亲爱的你们，求婚成功@微笑的小唐菜@华丽的冒险2010@菜菜的围脖@xzz119@笨kitty@土豆讨厌猴子', 'entities': '人物：微笑的小唐菜、华丽的冒险2010、菜菜的围脖、xzz119、笨kitty、土豆讨厌猴子\n位置：未知\n机构：未知'}
{'text': '//@大力做大力愛:【《我的故事·我的歌》侧田】哈哈，真系好笑！笑到我肚痛！[哈哈][哈哈]', 'entities': '人物：大力做大力愛、侧田\n地名：无\n机构：无\n位置：无'}
{'text': '[话筒]//@徐森洁:@_丁满爱蓬蓬', 'entities': '徐森洁、丁满、爱蓬蓬'}
{'text': '解解声音好甜害羞不过说实话，视频上面解解和周觅牵手的时候，包括唱歌的时候，笑的不是很多啊，而且看解解的手应该能看出这手牵的好尴尬挖鼻屎挖鼻屎挖鼻屎', 'entities': '人物：解解、周觅\n地名：无\n机构：无\n位置：视频上'}
{'text': '【微博客户端完美支持iOS7啦~！】微博iPhone客户端新版发布，全面支持苹果iOS7系统，完美演绎简约设计风格；优化VoiceOver语音辅助功能，无障碍获取信息。赶快下载体验吧！AppStore下载：http://t.cn/zOZGnnD', 'entities': '人物：无\n地名：AppStore\n机构：微博\n位置：iPhone客户端'}
{'text': '【西藏美景】拿任何一位倾国美女来比羊湖都是失败的，因为它的每一笔线条都太柔美，以至于照片几近于失真。在她面前，没有人大声招摇，她的美足以让一切喧嚣宁静。山脚下，离湖最近的是个红衣喇嘛，他面对着湖，看不到他的面容和年龄，红尘俗世离他很远，眼里是那片湖，心中也是，那就是他修的禅。', 'entities': '人物：红衣喇嘛\n地名：西藏\n位置：山脚下\n机构：无'}
{'text': '我的大姨妈噢，肚子忒痛了[泪流满面][泪流满面][泪流满面]', 'entities': '人物：我、我的大姨妈\n位置：未知\n机构：无\n地名：无'}
{'text': '第一次认真地看足球赛，终于恒大赢了中国足球雄起赞赞赞太棒了耶耶耶我在', 'entities': '人物：未提及\n地名：中国\n机构：恒大\n位置：未提及'}
{'text': '@浙江大学红色寻访at鲁迅故里：从百草园到三味书屋，先生曾经在作品中提到，家道中落让他提早体会了生活的疾苦，在父亲患病的时候，常常是每天来往于家、当铺以及药铺之间，从周家老台门到新台门，世事变迁，世态炎凉……', 'entities': '人物：鲁迅先生、父亲、周家老台门、新台门\n地名：浙江大学、百草园、三味书屋、当铺、药铺\n机构：无\n位置：浙江大学、百草园、三味书屋、周家老台门、新台门'}
{'text': '丽江束河古镇，我住的宾馆', 'entities': '人物：我\n地名：丽江束河古镇\n机构：宾馆\n位置：未指定'}
{'text': '领导也是人，也是有私心与一般人的弱点，有感情因素，倘只停留在干活层面不交流，那么领导会觉得既然公事公办，那么公司已经为你的工作成果支付了工资与成本，又何必谈其他的。', 'entities': '人物：领导\n地名：公司\n机构：无\n位置：无'}
{'text': '很不爽的吻戏啊啊啊啊啊啊啊怒怒泪泪泪男演员ㅠㅠㅠㅠㅠㅠ爪机新壁纸换起来', 'entities': '句子中的人物：男演员\n地名：无\n机构：无\n位置：无'}
{'text': '胡劳斯昨儿生日快乐九班孩子是不是格外可爱胡劳斯快来爱九班吧依依', 'entities': '人物：胡劳斯、九班孩子\n地名：无\n机构：无\n位置：无'}
{'text': '最适合我的英文名是【amy】，涵义是最心爱的人，可爱的。@熊桐欣，@因为是你_____天天，@半岛夏暖丶你也来【取个适合你的英文名】吧，很简单，输入中文名就可以啦！测试地址>>http://t.cn/zRXn4gE', 'entities': '人物：熊桐欣、半岛夏暖\n地名：无\n机构：无\n位置：无'}
{'text': '建行，招行温州分行10%的不良贷款差不多算次贷危机了！', 'entities': '人物：无\n地名：温州\n机构：建行，招行温州分行\n位置：无'}
{'text': '【老北京炸酱面】作为北京最富特色的小吃，跟大家分享作法：1、把老抽和黄酱倒入一个大碗内，然后加入150毫升清水用筷子慢慢调匀；京葱切成碎末备用2、炒锅内倒入比炒菜更多的油烧热，油热后放入京葱末翻炒半分钟后倒入肉末一起翻炒至变色脱生，然后倒入调匀的黄酱用最小火慢慢翻炒78分钟即可。', 'entities': '人物：无\n地名：北京\n机构：无\n位置：炒锅内'}
{'text': '//@G_季总://@Happy张江:【轮流发生性关系】我的理解是：因女孩性欲旺盛，小天一和小伙伴们排队和她PiaPiaPia，也就是说，这是起群p事件，即不是强奸，也不是轮奸，不算犯罪。', 'entities': '人物：G_季总、Happy张江、女孩、小天一、小伙伴们；\n地名：无；\n机构：无；\n位置：无。'}
{'text': '//动漫时尚街:Q版李润成~~可不可以不要这么帅这么Q#城市猎人#-原文地址：http://t.cn/adQ1S3', 'entities': '人物：李润成\n地名：动漫时尚街\n机构：城市猎人\n位置：未明确指定'}
{'text': '我在台湾人道素菜：黑美人奶茶味道很浓郁蛋挞超好吃已经被窝消灭了http://t.cn/zlt9Tt3', 'entities': '人物：我\n地名：台湾\n机构：人道素菜\n位置：被窝'}
{'text': '新浪微博客户端3.5.1全新升级！信息流图片加载速度提升；发布器支持多张图片一键分享；新增emoji、浪小花表情。观看视频，了解更多！http://t.cn/zTozVasAppStore下载地址：http://t.cn/zOZGnnD', 'entities': '人物：无\n地名：无\n机构：新浪微博\n位置：无'}
{'text': '我的家长哈尔滨不知道是咋回事，就要不好好修桥，要不修完就塌，要不修一半发现图纸看错了，留一半桥在那儿杵着，等谁跳水去呢？我在:http://t.cn/zjIM1WO', 'entities': '人物：我的家长\n地名：哈尔滨\n机构：无\n位置：http://t.cn/zjIM1WO'}
{'text': '哈哈哈哈哈哈吃布丁的维尼熊没兴趣，起来，我不厚道的笑了宋晚晚起开哈哈', 'entities': '人物：维尼熊，宋晚晚\n地名：无\n机构：无\n位置：无'}
{'text': 'lmissyoumm[害羞][爱你]//@朴信惠:大家好～～^_^，好久不见，大家都还健康吧～？我现在在努力的拍摄继承者们中～～～，韩国的天气变的很冷中国的怎么样啊？！，大家要小心不要感冒哦～～我想你们～～～！！！', 'entities': '人物：朴信惠\n地名：韩国、中国\n机构：继承者们\n位置：拍摄现场'}
{'text': '@天煞孤星鱼@金山的蒙蒙100@严之吟转发微博', 'entities': '人物：@天煞孤星鱼、@金山的蒙蒙100、@严之吟\n地名：金山\n机构：无\n位置：无法确定，可能是在微博上。'}
{'text': '7月28日，吉林永吉县道口上几节火车货车车厢被洪水冲倒，另有数节车厢被洪水从几百米外的火车站内冲出来的，横在路上。7月28日凌晨，吉林省永吉县遭遇自有水文气象纪录以来从未遇到过的特大降雨，全县受灾人口约15万人，已发现13具遇难者遗体，另有6人失踪。.jpg', 'entities': '人物：无\n地名：吉林、永吉县、道口、火车站\n机构：无\n位置：车厢被洪水冲倒的道口上，车厢被洪水从几百米外的火车站内冲出来，全县受灾。'}
{'text': '//@病獣:哦哦哦哦——好久没看到的孩子O<-<糟困什么时候画画莫格啊【喂', 'entities': '人物：病獣\n地名：无\n机构：无\n位置：无'}
{'text': '发表了一篇转载博文《[转载]穿梭潼关古城的古与今》-http://t.cn/zQb8WWp', 'entities': '人物：未提及\n地名：潼关古城\n机构：未提及\n位置：未提及'}
{'text': '//@徐晓菲://@琳家小敉:转！//@海淀的彩翼儿童美术://@清水吟香一小猴子心心://@马伊琍://@薛晓路:扩散！//@六六:速转！//@绝版魏晋://@袁裕来律师:转发微博', 'entities': '人物：徐晓菲、琳家小敉、马伊琍、薛晓路、六六、绝版魏晋、袁裕来律师\n地名：海淀\n机构：彩翼儿童美术、清水吟香\n位置：未确定'}
{'text': '我刚更新了微博客户端冬季版信息流全面支持赞；新增精彩密友功能，支持发布密友微博、查看密友圈、添加密友；优化发布器，支持显示当前帐号昵称；支持手势返回前页。下载地址：', 'entities': '人物：无\n地名：无\n机构：微博客户端\n位置：下载地址未提及'}
{'text': '以后天天刮。//@厦门街头巷尾:涨姿势了，100或20万。。。//@流川家的猫：应该是真的…这个版本的中奖发票就两个中奖额…100或者20万。赶紧带身份证去地税吧…//@厦门地税:消费39元，中奖20万，真的很励志啊！[花心][good]', 'entities': '人物：无\n地名：厦门、厦门街头巷尾、厦门地税\n机构：厦门地税\n位置：无'}
{'text': '南越王墓博物馆，不错！陪葬品陪多[嘻嘻][嘻嘻]', 'entities': '人物：无\n地名：南越王墓博物馆\n机构：无\n位置：未指定'}
{'text': '咸阳北发往各县区的长途汽车安全带大部分都坏掉了。上车后让系上安全带。拿起来一看各种无能为力。这个设备损坏还要系安全带。要闹哪样呢？@咸阳交警官方微博@今日咸阳该不该维护维护呢？我在:http://t.cn/zjrdYhe', 'entities': '人物：无\n地名：咸阳\n机构：咸阳交警官方微博\n位置：咸阳北发往各县区的长途汽车'}
{'text': '【韩寒经典语录】如果现在这个时代能出全才，那便是应试教育的幸运和这个时代的不幸。如果有，他便是人中之王，可惜没有，所以我们只好把“全”字人下的“王”给拿掉。时代需要的只是人才。', 'entities': '人物：韩寒\n地名：无\n机构：无\n位置：无'}
{'text': '酷啊，我明天一定要去小特，我们来啦哈哈丫头哒哒', 'entities': '人物：无\n地名：小特\n机构：无\n位置：无'}
{'text': '@陈苏丹sudan@邓远清JENNY@大王二彤_', 'entities': '人物：陈苏丹，邓远清，大王二彤\n地名：苏丹\n机构：无\n位置：无法确定，需要更多上下文信息。'}
{'text': '//@安大略省旅游局微博:#安大略省旅游摄影大赛#转发参赛作品彩虹桥上有彩虹', 'entities': '人物：无\n地名：安大略省\n机构：安大略省旅游局微博\n位置：彩虹桥'}
{'text': '[good]//@小叶同学167:[哈哈][哈哈][哈哈][哈哈]', 'entities': '这个句子中没有明确的人物、地名、机构和位置。'}
{'text': '【职场菜鸟十大标志】1、只会踏踏实实地做具体的工作；2、不会踏踏实实地工作；、瞧不起上司；4、崇拜上司；5、容易被激发、被感动、被忽悠；6、甘当云梯默默无闻；7、习惯忍让；8、锋芒毕露；9、排斥关系；10、知无不言言无不真。职场中的你有中了几个？。#鹏诺心语#', 'entities': '人物：职场菜鸟\n地名：无\n机构：无\n位置：职场'}
{'text': '“庖丁解牛”这个故事想必大家都不陌生：厨师在分割一头壮牛之前，前期潜心钻研牛体构造，把屠刀在磨刀石上反复打磨锋利，然后深吸一口气，目测下刀的基准尺寸，再用手找准下刀的部位，工作中要想获得高效率，工作前细致周到的准备是必不可少的。', 'entities': '人物：庖丁、壮牛\n地名：无\n机构：无\n位置：厨房（可以推测）'}
{'text': '略微长版的灰色T恤，以可爱的娃娃logo为亮点，搭配上粉红色的蓬蓬薄纱裙，真是甜美到不行，不规则的裙摆随风飘曳，露出的修长小腿在视觉上修长了下半身。http://t.cn/aeqq4R', 'entities': '人物：未提及\n地名：未提及\n机构：未提及\n位置：未提及'}
{'text': '姐是傻、但也没有傻到这份上吧?没空和你墨迹！哦、对了！你纯洁你漂亮你资本够大、那也请你搞清楚状况吧、贱人、姐累的、搞出那么多事干嘛?不知道姐正在努力学习哦？你这种见谁都想艹上一脚的孩子、木有出息啊、姐就不陪你瞎折腾了、不对！是从来没有和你交际过、你老慢慢玩[good][good][可怜][可怜]', 'entities': '人物：姐\n地名：无\n机构：无\n位置：无'}
{'text': '帮推//@朱萧木:再推一次，就耽误您三分钟，对练英文也很有帮助，我准备背下来。//@朱萧木:非常牛逼的视频！讲清楚了这三个关于资本主义的流言。感谢@胥瑞琦翻译。弘扬自由意志主义，人人有责~', 'entities': '人物：朱萧木、胥瑞琦\n地名：无\n机构：无\n位置：无'}
